n,iterations,implementation,avg_loop_time
64,10,seq_v0_python,0.0114776006001193
64,10,seq_v0_numba,0.0001212122999277
64,10,seq_v0_numpy_vec,7.58025998948142e-05
64,10,cuda_v1,0.0002370879999944
64,10,cuda_v2_t(16x16),0.0002895114001148
64,10,cuda_v3_b(128x128)_t(16x16),0.0003659791000245
256,10,seq_v0_python,0.1959572342000683
256,10,seq_v0_numba,0.0008220147999963
256,10,seq_v0_numpy_vec,0.000119926499974
256,10,cuda_v1,0.001782406699931
256,10,cuda_v2_t(16x16),0.0006873163998534
256,10,cuda_v3_b(128x128)_t(16x16),0.0003613507000409
1024,10,seq_v0_python,3.0692395742000373
1024,10,seq_v0_numba,0.0121578456000861
1024,10,seq_v0_numpy_vec,0.0009810647001359
1024,10,cuda_v1,0.025099676299942
1024,10,cuda_v2_t(16x16),0.0123108114999922
1024,10,cuda_v3_b(128x128)_t(16x16),0.0007964241000081
4096,10,seq_v0_python,48.25309986440006
4096,10,seq_v0_numba,0.187751560200013
4096,10,seq_v0_numpy_vec,0.0279425828000967
4096,10,cuda_v1,0.3533479007001006
4096,10,cuda_v2_t(16x16),0.1086077599999043
4096,10,cuda_v3_b(128x128)_t(16x16),0.0081465077999382
128,10,seq_v0_python,0.0474078405999534
128,10,seq_v0_numba,0.000280336600008
128,10,seq_v0_numpy_vec,9.085460005735512e-05
128,10,cuda_v1,0.0005394256999352
128,10,cuda_v2_t(16x16),0.0003183811999406
128,10,cuda_v3_b(128x128)_t(16x16),0.0003592883000237
512,10,seq_v0_python,0.7457203580999703
512,10,seq_v0_numba,0.0029991986000823
512,10,seq_v0_numpy_vec,0.0002948241999547
512,10,cuda_v1,0.0067018084000665
512,10,cuda_v2_t(16x16),0.0022387232000255
512,10,cuda_v3_b(128x128)_t(16x16),0.0003856423998513
2048,10,seq_v0_python,11.949710827799937
2048,10,seq_v0_numba,0.04662207279998256
2048,10,seq_v0_numpy_vec,0.0064232877999529595
2048,10,cuda_v1,0.09196437669997977
2048,10,cuda_v2_t(16x16),0.027308232799987307
2048,10,cuda_v3_b(128x128)_t(16x16),0.002306735700040008
